Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Work_Description,Active_Parcel,Date_Inspection_Completed,Occupancy_Type,Residential_Units_Demoed,District,Inspection_Outcome
"DEMO-2021-19007","2021-11-18 12:00:00","2021-12-06 12:00:00",,"2025-03-06 12:00:00","Demolition Permit","Demolition","Demolition","Issued",48856,"20","HIGHFIELD PARK DR","DARTMOUTH","40414054",,,"Commercial","Demolition of a 112 room, 2 storey hotel constructed in 1990.
Structure located on North West portion of property.

Building construction for non-recyclables primarily concrete (to be grounded as fill onsite), timber framing in roof trusses, and glazing.

No changes or impacts to streets or right-of ways are being requested.","Y",,,,"District 05",
"DEMO-2021-19058","2021-11-17 12:00:00","2021-11-25 12:00:00","2023-06-29 12:00:00","2021-12-31 12:00:00","Demolition Permit","Demolition","Demolition","Completed",72754,"2080","WINDSOR ST","HALIFAX","40595704",,"Building - DEM - Demolition - Final","Accessory Structure","Demolition of a wood framed storage building located on the property of
Saint Vincent's Nursing Home, 2080 Windsor St., Halifax, NS.","Y","2023-06-29 12:00:00",,1,"District 09","Passed"
"DEMO-2021-19187","2021-11-22 12:00:00",,"2021-11-24 12:00:00",,"Demolition Permit","Demolition","Demolition","Withdrawn",105613,"2134","WEST JEDDORE RD","WEST JEDDORE","40028649",,,"Dwelling - Single Detached","The Demolition permit is to remove all plumbing and building materials in the house
ie: Kitchen / bathroom and to use it as an auxilary building for storage.","Y",,,1,"District 02",
"DEMO-2021-19217","2021-11-22 12:00:00","2022-01-13 12:00:00",,"2023-02-01 12:00:00","Demolition Permit","Demolition","Demolition","Expired",76624,"1560","ROBIE ST","HALIFAX","00136820",,"Building - DEM - Demolition - Final","Dwelling - Semi-Detached","Demolish a house
18.5m x 8.4m x 8.5m (approx)
1560/1562 Robie Street","Y","2022-12-22 12:00:00",,1,"District 07","Passed"
"DEMO-2021-19222","2021-11-22 12:00:00","2022-01-12 12:00:00",,"2023-02-01 12:00:00","Demolition Permit","Demolition","Demolition","Expired",76504,"1566","ROBIE ST","HALIFAX","00136812",,"Building - DEM - Demolition - Final","Dwelling - Semi-Detached","Demolish House
Approx dimensions 15m x 8m x 11.5m","N","2022-12-22 12:00:00",,1,"District 07","Passed"
"DEMO-2021-19225","2021-11-22 12:00:00","2022-01-13 12:00:00",,"2023-02-01 12:00:00","Demolition Permit","Demolition","Demolition","Expired",76201,"1596","ROBIE ST","HALIFAX","00136762",,"Building - DEM - Demolition - Final","Dwelling - Semi-Detached","Demolish House
Approx Dimension 15m x 8m x 8.5m","Y","2022-12-22 12:00:00",,1,"District 07","Passed"
"DEMO-2021-19579","2021-12-02 12:00:00","2021-12-13 12:00:00","2023-07-05 12:00:00","2022-03-31 12:00:00","Demolition Permit","Demolition","Demolition","Completed",25774,"151","PETERS LAKE RD","HATCHET LAKE","00656108",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demo single unit dwelling.. New home under BPRES-2021-19577  building is  being given away removing from the property.","Y","2023-07-05 12:00:00",,1,"District 13","Passed"
"DEMO-2021-19754","2021-12-06 12:00:00","2021-12-13 12:00:00","2024-12-05 12:00:00","2024-09-13 12:00:00","Demolition Permit","Demolition","Demolition","Completed",27052,"100","VILLAGE RD","HERRING COVE","40076093",,"Halifax Water - Discretionary","Dwelling - Single Detached","Application to demolish the entire building including foundation. There will be a new dwelling constructed on the same property within a year, therefore we request to cap services at the property and not the street. Hazardous materials identified on hazmat report will be removed. Infill will be provided where building was to leave no hole.","Y","2024-08-15 12:00:00",,1,"District 11","Passed"
"DEMO-2021-19890","2021-12-10 12:00:00",,"2021-12-22 12:00:00",,"Demolition Permit","Demolition","Demolition","Withdrawn",75661,"5440","SPRING GARDEN RD","HALIFAX","41353889",,,"Institutional and Governmental","Fit-up of two cafes within the Halifax Central Library. Addition of small washroom. Spaces are already demoed, we will have a minor amount of demo. Library will be open and operational.","Y",,,,"District 07",
"DEMO-2021-19918","2021-12-29 12:00:00","2022-02-09 12:00:00",,"2023-12-29 12:00:00","Demolition Permit","Demolition","Demolition","Expired",84137,"1350","MAIN RD","EASTERN PASSAGE","00400028",,,"Industrial","Demolition of multiple structures at the Valero  Distribution Site","Y",,,,"District 03",
"DEMO-2021-20404","2021-12-31 12:00:00","2022-01-24 12:00:00","2022-06-17 12:00:00","2022-06-30 12:00:00","Demolition Permit","Demolition","Demolition","Completed",91721,"27174","HIGHWAY 7","HARRIGAN COVE","00542647",,"Building - DEM - Demolition - Site Safety","Dwelling - Single Detached","Demolish existing  building","Y","2022-06-17 12:00:00",,1,"District 02","Passed"
"DEMO-2022-00174","2022-01-24 12:00:00","2022-02-03 12:00:00","2022-12-09 12:00:00","2022-12-31 12:00:00","Demolition Permit","Demolition","Demolition","Completed",49728,"1000","MICMAC BLVD","DARTMOUTH","40173627",,"Building - DEM - Demolition - Final","Dwelling - Multiple Units","Demolition work to be completed - Pool ONLY","Y","2022-12-09 12:00:00",,,"District 05","Passed"
"DEMO-2022-00382","2022-02-13 12:00:00",,"2022-02-14 12:00:00",,"Demolition Permit","Demolition","Demolition","Withdrawn",58204,"10","MAPLE ST","DARTMOUTH","00128413",,,"Institutional and Governmental","small demolition to remove a lobby wall  from church foyer, 10 Maple St Dartmouth","Y",,,,"District 05",
"DEMO-2022-00431","2022-01-12 12:00:00","2022-01-24 12:00:00","2022-02-28 12:00:00","2022-02-28 12:00:00","Demolition Permit","Demolition","Demolition","Expired (Closed)",11883,"56","PHEASANT LANE","TANTALLON","00615427",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Building has been abandon for some time now and represents a liability.","Y","2022-01-25 12:00:00",,1,"District 13","Passed"
"DEMO-2022-00463","2022-01-13 12:00:00","2022-04-25 12:00:00",,"2023-02-17 12:00:00","Demolition Permit","Demolition","Demolition","Expired",78251,"6319","COBURG RD","HALIFAX","00049163",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolish a two story house","Y","2022-12-01 12:00:00",,1,"District 07","Passed"
"DEMO-2022-00747","2022-01-20 12:00:00","2022-02-07 12:00:00",,"2022-05-06 12:00:00","Demolition Permit","Demolition","Demolition","Expired",52632,"352","WINDMILL RD","DARTMOUTH","00090324",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolition","Y","2023-09-29 12:00:00",,1,"District 05","Passed"
"DEMO-2022-00906","2022-01-26 12:00:00","2022-01-28 12:00:00",,"2022-12-31 12:00:00","Demolition Permit","Demolition","Demolition","Expired",66439,"2760","ROBIE ST","HALIFAX","00005181",,"Building - DEM - Demolition - Site Safety","Mixed Use - Residential & Other Use(s)","demolition for 2760 and 2762 Robie St","Y","2022-09-21 12:00:00",,2,"District 08","Passed"
"DEMO-2022-00994","2022-03-21 12:00:00","2022-09-06 12:00:00","2023-06-30 12:00:00","2023-03-06 12:00:00","Demolition Permit","Demolition","Demolition","Completed",22132,"6","FENERTY RD","HALIFAX","00299339",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","6 FENERTY RD. TO STARTING NEW BUILDING","Y","2023-06-30 12:00:00",,1,"District 09","Passed"
"DEMO-2022-01065","2022-01-27 12:00:00","2022-04-27 12:00:00","2022-05-24 12:00:00","2022-05-21 12:00:00","Demolition Permit","Demolition","Demolition","Expired (Closed)",74193,"2525","ARMCRESCENT EAST DR","HALIFAX","00006445",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Removal of concrete basement. Work has already been completed - a permit was taken out for a renovation and it ended up that the basement/concrete was not stable enough to undergo the stress of the new load and so we decided to remove it.  (see Hansen 184561)

new permit will also be taken out for new construction.","Y","2022-05-09 12:00:00",,1,"District 09","Passed"
"DEMO-2022-01245","2022-02-03 12:00:00","2022-02-09 12:00:00",,"2024-05-31 12:00:00","Demolition Permit","Demolition","Demolition","Expired",,,,,"40001125",,"Building - DEM - Demolition - Final","Industrial","Demolition of two structures at the Valero distribution site. This permit is related to DEMO-2021-19918.","Y","2024-06-06 12:00:00",,,"District 03","Passed"
"DEMO-2022-01625","2022-02-16 12:00:00","2022-03-17 12:00:00",,"2024-12-31 12:00:00","Demolition Permit","Demolition","Demolition","Expired",77536,"1190","BARRINGTON ST","HALIFAX","00049965",,"Building - DEM - Demolition - Site Safety","Commercial","Scope of work is:
Demolition of an existing commercial building at 1190 Barrington St.

***renewal information submitted and reviewed on Dec. 19, 2023 to extend expiry date to Dec. 31, 2024***","Y","2023-10-20 12:00:00",,,"District 07","Passed"
"DEMO-2024-00413","2024-01-11 12:00:00","2024-04-24 12:00:00",,"2024-09-30 12:00:00","Demolition Permit","Demolition","Demolition","Expired",65454,"2872","AGRICOLA ST","HALIFAX","00160481",,"Halifax Water Connection - Service Abandonment","Dwelling - Single Detached","Demolition of Existing Structure, Capping of services.","Y","2024-06-05 12:00:00",,1,"District 08","Passed"
"DEMO-2024-00640","2024-01-17 12:00:00","2024-01-18 12:00:00","2024-01-19 12:00:00","2024-07-18 12:00:00","Demolition Permit","Demolition","Demolition","Completed",94730,"19","JACKSON RD","SPRY HARBOUR","40027476",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Applying for demo permit. This permit is being applied for after the work was completed. Applying for permit at the request of Building Inspector Joshua Hirschfeld","Y","2024-01-19 12:00:00",,1,"District 02","Passed"
"DEMO-2024-00733","2024-01-29 12:00:00","2024-02-21 12:00:00",,"2024-11-04 12:00:00","Demolition Permit","Demolition","Demolition","Expired",7374,"629","BEDFORD HWY","HALIFAX","00289801",,,"Dwelling - Single Detached","Demolition of SUD","Y",,,1,"District 16",
"DEMO-2024-00974","2024-04-24 12:00:00","2024-05-06 12:00:00","2024-12-10 12:00:00","2024-12-11 12:00:00","Demolition Permit","Demolition","Demolition","Completed",100100,"500","OSTREA LAKE RD","OSTREA LAKE","41266883",,"Building - DEM - Demolition - Final","Dwelling - Seasonal","Remove old cottage.","Y","2024-12-10 12:00:00",,1,"District 02","Passed"
"DEMO-2024-01040","2024-02-28 12:00:00",,,,"Demolition Permit","Demolition","Demolition","Application Incomplete",73420,"1657","BARRINGTON ST","HALIFAX","41472515",,,"Commercial","3 openings in concrete wall to allow for future circulation (to be designed).","Y",,,,"District 07",
"DEMO-2024-01167","2024-02-13 12:00:00","2024-02-15 12:00:00",,"2024-08-14 12:00:00","Demolition Permit","Demolition","Demolition","Expired",123141,"16","MAYNARD ST","DARTMOUTH","41067281",,,"Accessory Structure","Demolition and removal of a 12x18 shed","Y",,,1,"District 05",
"DEMO-2024-01201","2024-02-23 12:00:00","2024-04-10 12:00:00",,"2024-10-14 12:00:00","Demolition Permit","Demolition","Demolition","Expired",21664,"25","OLD POST RD","HUBBARDS","40541252",,,"Dwelling - Seasonal","Removal Of derelict Cottage at 25 Old Post Road Hubbards","Y",,,1,"District 13",
"DEMO-2024-01328","2024-05-28 12:00:00","2024-06-25 12:00:00",,"2025-06-25 12:00:00","Demolition Permit","Demolition","Demolition","Issued",172373,"30","SCIENCE PARK DR","BEDFORD","40602005",,"Halifax Water Connection - Service Abandonment","Commercial","Scope of Work: Demolition of ancillary structures to prepare for new construction project (See BPCOM-2023-13421).","Y","2024-12-20 12:00:00",,,"District 16","Cancelled"
"DEMO-2024-01419","2024-02-09 12:00:00","2024-03-20 12:00:00","2024-06-07 12:00:00","2024-06-10 12:00:00","Demolition Permit","Demolition","Demolition","Completed",121028,"386","COW BAY RD","EASTERN PASSAGE","40082265",,"Building - DEM - Demolition - Site Safety","Accessory Structure","Demo of Accessory Structure (#1 of 2)","Y","2024-06-07 12:00:00",,,"District 03","Passed"
"DEMO-2024-01508","2024-02-15 12:00:00","2024-02-22 12:00:00",,"2024-09-27 12:00:00","Demolition Permit","Demolition","Demolition","Expired",26537,"47","HEBRIDEAN DR","HERRING COVE","40077349",,"Building - DEM - Demolition - Final","Accessory Structure","Garage demo","Y","2024-03-27 12:00:00",,,"District 11","Passed"
"DEMO-2024-01599","2024-02-15 12:00:00","2024-02-22 12:00:00",,"2024-08-21 12:00:00","Demolition Permit","Demolition","Demolition","Expired",78761,"1053","PURCELLS COVE RD","HALIFAX","00251892",,,"Dwelling - Single Detached","Demolish Single Unit Dwelling","Y",,,1,"District 11",
"DEMO-2024-01905","2024-02-22 12:00:00","2024-02-27 12:00:00","2024-04-03 12:00:00","2024-08-26 12:00:00","Demolition Permit","Demolition","Demolition","Completed",74037,"6143","PEPPERELL ST","HALIFAX","00176495",,"Building - DEM - Demolition - Final","Accessory Structure","Demo Shed","Y","2024-04-03 12:00:00",,,"District 09","Passed"
"DEMO-2024-02030","2024-02-27 12:00:00",,"2024-02-28 12:00:00",,"Demolition Permit","Demolition","Demolition","Withdrawn",21890,"23","SPRUCE RD","GLEN HAVEN","00526459",,,"Accessory Structure","boathouse","Y",,,1,"District 13",
"DEMO-2024-02204","2024-03-01 12:00:00","2024-03-04 12:00:00","2024-03-19 12:00:00","2024-06-04 12:00:00","Demolition Permit","Demolition","Demolition","Completed",7208,"35","BONN DR","HAMMONDS PLAINS","40766917",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolish Single Unit Dwelling","Y","2024-03-19 12:00:00",,1,"District 14","Passed"
"DEMO-2024-02458","2024-03-07 12:00:00","2024-03-14 12:00:00",,"2025-03-14 12:00:00","Demolition Permit","Demolition","Demolition","Issued",118588,"369","WEST LAWRENCETOWN RD","LAWRENCETOWN","00439059",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demo mobile home","Y","2024-03-18 12:00:00",,1,"District 02","Cancelled"
"DEMO-2024-03047","2024-03-28 12:00:00","2024-05-02 12:00:00","2024-06-27 12:00:00","2024-07-04 12:00:00","Demolition Permit","Demolition","Demolition","Completed",66181,"2730","AGRICOLA ST","HALIFAX","00161489",,"Halifax Water Connection - Service Abandonment","Dwelling - Semi-Detached","Demolition of residential unit in preparation of construction of an apartment building.","Y","2024-06-27 12:00:00",,1,"District 08","Passed"
"DEMO-2024-03048","2024-03-27 12:00:00",,"2024-04-02 12:00:00",,"Demolition Permit","Demolition","Demolition","Withdrawn",66181,"2730","AGRICOLA ST","HALIFAX","00161471",,,"Dwelling - Multiple Units","Demolition of 3 residential units in preparation of construction of an apartment building.","N",,,3,"Unidentified",
"DEMO-2024-03119","2024-03-21 12:00:00","2024-03-25 12:00:00",,"2024-10-30 12:00:00","Demolition Permit","Demolition","Demolition","Expired",23280,"11857","PEGGYS COVE RD","FRENCH VILLAGE","00590638",,,"Dwelling - Single Detached","demo existing SUD","Y",,,1,"District 13",
"DEMO-2024-03219","2024-03-21 12:00:00","2024-03-22 12:00:00",,"2024-12-23 12:00:00","Demolition Permit","Demolition","Demolition","Expired",23289,"11843","PEGGYS COVE RD","FRENCH VILLAGE","41500091",,,"Dwelling - Single Detached","demo existing SUD","Y",,,1,"District 13",
"DEMO-2024-03602","2024-03-28 12:00:00","2024-05-02 12:00:00","2024-06-27 12:00:00","2024-07-04 12:00:00","Demolition Permit","Demolition","Demolition","Completed",66130,"2738","AGRICOLA ST","HALIFAX","00161463",,"Halifax Water Connection - Service Abandonment","Mixed Use - Residential & Other Use(s)","Demolition of residential unit in preparation of construction of an apartment building.","N","2024-06-27 12:00:00",,1,"Unidentified","Passed"
"DEMO-2024-03659","2024-04-10 12:00:00","2024-05-01 12:00:00",,"2024-10-31 12:00:00","Demolition Permit","Demolition","Demolition","Expired",,,,,"00182030",,"Building - DEM - Demolition - Site Safety","Dwelling - Single Detached","to remove this dwelling for relocation to a different lot

removal of foundation and chimney only","N","2024-10-22 12:00:00",,1,"District 09","Failed"
"DEMO-2024-03745","2024-04-03 12:00:00","2024-04-11 12:00:00",,"2024-11-08 12:00:00","Demolition Permit","Demolition","Demolition","Expired",51293,"15","PRIMROSE ST","DARTMOUTH","00037036",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolition of Single Unit Dwelling","Y","2024-11-06 12:00:00",,1,"District 05","Failed"
"DEMO-2024-03773","2024-04-22 12:00:00","2024-04-24 12:00:00",,"2025-01-23 12:00:00","Demolition Permit","Demolition","Demolition","Expired",10335,"343","CORMORANT LANE","TANTALLON","40056202",,"Building - DEM - Demolition - Site Safety","Accessory Structure","Remove existing cottage to facilitate construction of new dwelling. Placing existing cottage to back of lot to be used as an accessory structure.","Y","2024-04-26 12:00:00",,1,"District 13","Passed"
"DEMO-2024-03814","2024-04-10 12:00:00",,,"2025-07-30 12:00:00","Demolition Permit","Demolition","Demolition","In Review",67779,"2328","GOTTINGEN ST","HALIFAX","00154666",,,"Dwelling - Multiple Units","Demolition to existing building","Y",,,6,"District 08",
"DEMO-2024-04883","2024-04-23 12:00:00","2024-04-29 12:00:00",,"2025-04-24 12:00:00","Demolition Permit","Demolition","Demolition","Issued",75319,"1529","BIRMINGHAM ST","HALIFAX","00077321",,,"Commercial","Scope of Work: Demolition of 1533 Birmingham (Unit 1 of 3).","Y",,,1,"District 07",
"DEMO-2024-05248","2024-04-29 12:00:00","2024-05-22 12:00:00",,"2024-07-31 12:00:00","Demolition Permit","Demolition","Demolition","Expired",19024,"3291","WESTERWALD ST","HALIFAX","00198598",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolition of an existing single family house.","Y","2024-12-11 12:00:00",,1,"District 10","Failed"
"DEMO-2024-05264","2024-05-01 12:00:00","2024-05-06 12:00:00","2024-05-09 12:00:00","2024-08-02 12:00:00","Demolition Permit","Demolition","Demolition","Completed",85611,"14","BELLAROSA WAY","HALIFAX","40459992",,"Building - DEM - Demolition - Site Safety","Dwelling - Single Detached","Demolish Single Unit Dwelling","Y","2024-05-09 12:00:00",,1,"District 11","Passed"
"DEMO-2024-05658","2024-05-06 12:00:00","2024-05-10 12:00:00","2024-05-13 12:00:00","2024-09-02 12:00:00","Demolition Permit","Demolition","Demolition","Completed",99449,"58","ALVEWA DR","MYERS POINT","41533308",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","applying for permit cause required for building permit
home already demolished, no evidence onsite","Y","2024-05-13 12:00:00",,1,"District 02","Passed"
"DEMO-2024-05755","2024-05-09 12:00:00","2024-05-14 12:00:00","2024-05-31 12:00:00","2024-08-14 12:00:00","Demolition Permit","Demolition","Demolition","Completed",106063,"605","BELLEFONTAINE RD","WEST CHEZZETCOOK","40402745",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Moving mobile home off of property (it is sold and being towed off property and to a new location).","Y","2024-05-31 12:00:00",,1,"District 02","Passed"
"DEMO-2024-06144","2024-05-30 12:00:00","2024-06-07 12:00:00",,"2024-10-05 12:00:00","Demolition Permit","Demolition","Demolition","Expired",61878,"3617","HIGH ST","HALIFAX","00027540",,"Halifax Water Connection - Service Abandonment","Dwelling - Single Detached","Demolish dwelling on property, capping services on property","Y","2024-08-02 12:00:00",,1,"District 08","Passed"
"DEMO-2024-06423","2024-05-24 12:00:00","2024-05-30 12:00:00",,"2024-08-30 12:00:00","Demolition Permit","Demolition","Demolition","Expired",31748,"4","CANYON CORNER RD","TERENCE BAY","40575466",,,"Dwelling - Single Detached","There is an existing house located at 4 Canyon Corner Rd., Terence Bay that is to be demolished and removed for a new residence to be built on the same property.","Y",,,1,"District 13",
"DEMO-2024-06689","2024-05-31 12:00:00",,,"2024-09-04 12:00:00","Demolition Permit","Demolition","Demolition","Expired",105717,"329","MONTAGUE RD","LAKE LOON","40150401",,,"Dwelling - Single Detached","There was a small fire in a home at 329 Montague rd and insurance deemed a right off. We plan to take building down by dismantling it and salvaging most materials. Inside was already totally gutted of drywall and insulation. House was tested and no hazardous materials were found","Y",,,1,"District 04",
"DEMO-2024-06707","2024-05-27 12:00:00","2024-06-05 12:00:00",,"2024-09-04 12:00:00","Demolition Permit","Demolition","Demolition","Expired",90927,"199","OLD TRUNK RD","ELMSDALE","40196024",,,"Accessory Structure","Removing tearing down existing garage, recycling materials.","Y",,,1,"District 01",
"DEMO-2024-06917","2024-10-22 12:00:00",,,"2025-05-28 12:00:00","Demolition Permit","Demolition","Demolition","Applicant Revisions",77276,"5982","SPRING GARDEN RD","HALIFAX","00135343",,,"Commercial","Removal of the existing structures 5982 Spring Garden. Demolition includes removal of above and below grade portions of building. Removal of entire structure and misc. site components associated with the structure.","Y",,,,"District 07",
"DEMO-2024-06921","2024-10-22 12:00:00",,,"2025-05-28 12:00:00","Demolition Permit","Demolition","Demolition","Applicant Revisions",77154,"5964","SPRING GARDEN RD","HALIFAX","00135376",,,"Dwelling - Multiple Units","Removal of the existing structures 5960 and 5958/62/64/66 Spring Garden. Demolition includes removal of above and below grade portions of building. Removal of entire structure and misc. site components associated with the structure.","Y",,,13,"District 07",
"DEMO-2024-07464","2024-06-11 12:00:00","2024-06-11 12:00:00","2024-06-13 12:00:00","2024-09-11 12:00:00","Demolition Permit","Demolition","Demolition","Completed",30241,"156","MCGRATHS COVE RD","MCGRATHS COVE","40500142",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolition of mobile home and detached garage. Both fully destroyed by fire.","Y","2024-06-13 12:00:00",,1,"District 13","Passed"
"DEMO-2024-07600","2024-06-24 12:00:00",,"2024-06-25 12:00:00",,"Demolition Permit","Demolition","Demolition","Withdrawn",95431,"57","SANCTUARY CRT","FALL RIVER","00505917",,,"Agriculture","It is a partial demolition of a horse stable that needs to be done to make way for new building construction.","Y",,,,"District 01",
"DEMO-2024-07985","2024-06-24 12:00:00","2024-09-04 12:00:00",,"2024-10-11 12:00:00","Demolition Permit","Demolition","Demolition","Expired",15218,"15","TITUS ST","HALIFAX","00180018",,"Building - DEM - Demolition - Final","Dwelling - Multiple Units","Demolish 3-Unit Dwelling","Y","2024-10-08 12:00:00",,3,"District 10","Passed"
"DEMO-2024-07991","2024-06-24 12:00:00","2024-08-09 12:00:00",,"2024-10-11 12:00:00","Demolition Permit","Demolition","Demolition","Expired",15105,"62","MAIN AVE","HALIFAX","00180026",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolish 1-Unit Dwelling","N","2024-10-08 12:00:00",,1,"District 10","Passed"
"DEMO-2024-08011","2024-06-19 12:00:00","2024-06-20 12:00:00","2024-10-23 12:00:00","2024-12-20 12:00:00","Demolition Permit","Demolition","Demolition","Completed",25759,"1510","PROSPECT RD","HATCHET LAKE","00655787",,"Building - DEM - Demolition - Site Safety","Accessory Structure","Demolish Connected Accessory Structures","Y","2024-10-23 12:00:00",,,"District 13","Passed"
"DEMO-2024-08249","2024-06-25 12:00:00",,"2024-06-25 12:00:00",,"Demolition Permit","Demolition","Demolition","Cancelled",119682,"37","SHERWOOD ST","COLE HARBOUR","40496978",,,"Dwelling - Single Detached","The house caught on fire and is being demo'd. The foundation will remain.","Y",,,1,"District 04",
"DEMO-2024-08586","2024-07-17 12:00:00","2024-08-06 12:00:00","2024-09-10 12:00:00","2025-01-31 12:00:00","Demolition Permit","Demolition","Demolition","Completed",,,,,"00273466",,"Building - DEM - Demolition - Site Safety","Dwelling - Single Detached","demolition of house","Y","2024-09-10 12:00:00",,1,"District 11","Passed"
"DEMO-2024-08624","2024-07-03 12:00:00",,"2024-07-05 12:00:00",,"Demolition Permit","Demolition","Demolition","Cancelled",63879,"5656","LIVINGSTONE ST","HALIFAX","00131375",,,"Accessory Structure","Demolition of a 10x8 attached structure to the back of the house. A new addition to be build on same location.","Y",,,1,"District 08",
"DEMO-2024-08680","2024-07-02 12:00:00",,"2024-07-03 12:00:00",,"Demolition Permit","Demolition","Demolition","Withdrawn",6290,"740","BOWATER MERSEY RD","HEAD OF ST MARGARETS BAY","41177221",,,"Institutional and Governmental","To demolish single family bungalow. The project scope is to abate any hazardous materials, and to remove the structures and backfill any voids left.","Y",,,1,"District 13",
"DEMO-2024-08774","2024-07-03 12:00:00","2024-07-05 12:00:00","2024-09-16 12:00:00","2024-09-01 12:00:00","Demolition Permit","Demolition","Demolition","Completed",6290,"740","BOWATER MERSEY RD","HEAD OF ST MARGARETS BAY","41177221",,"Building - DEM - Demolition - Final","Accessory Structure","PID 41177221 - NSDPW has contracted Castone to demolish 5 structures on this property.  This application is for the small shed.","Y","2024-09-16 12:00:00",,1,"District 13","Passed"
"DEMO-2024-08821","2024-07-04 12:00:00","2024-07-05 12:00:00","2024-08-14 12:00:00","2024-09-30 12:00:00","Demolition Permit","Demolition","Demolition","Completed",119902,"399","CAUSEWAY RD","SEAFORTH","00600353",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolishing structure including foundation","Y","2024-08-14 12:00:00",,1,"District 02","Passed"
"DEMO-2024-08945","2024-07-31 12:00:00","2024-08-20 12:00:00",,"2024-11-09 12:00:00","Demolition Permit","Demolition","Demolition","Expired",65431,"2863","AGRICOLA ST","HALIFAX","00160770",,,"Dwelling - Multiple Units","Demo of current building and rebuilding an 11 unit rental unit.","Y",,,2,"District 08",
"DEMO-2024-09298","2024-07-12 12:00:00","2024-07-25 12:00:00",,"2024-09-30 12:00:00","Demolition Permit","Demolition","Demolition","Expired",143708,"191","MINES RD","EAST CHEZZETCOOK","00628560",,,"Dwelling - Single Detached","demolish mobile home","Y",,,1,"District 02",
"DEMO-2024-09595","2024-07-18 12:00:00","2024-07-26 12:00:00",,"2025-07-23 12:00:00","Demolition Permit","Demolition","Demolition","Issued",25365,"47","MANSION AVE","HALIFAX","40018723",,,"Accessory Structure","Demolition of Accessory Structure","Y",,,1,"District 11",
"DEMO-2024-09671","2024-07-19 12:00:00","2024-07-30 12:00:00","2024-09-10 12:00:00","2025-01-31 12:00:00","Demolition Permit","Demolition","Demolition","Completed",,,,,"00273466",,"Building - DEM - Demolition - Site Safety","Accessory Structure","Accessory building demolition","Y","2024-09-10 12:00:00",,,"District 11","Passed"
"DEMO-2024-09774","2024-07-24 12:00:00","2024-08-19 12:00:00",,"2024-10-25 12:00:00","Demolition Permit","Demolition","Demolition","Expired",9246,"21","OHARA DR","HALIFAX","00307603",,"Halifax Water Connection - Service Abandonment","Dwelling - Single Detached","Demolish the existing structure and foundation.","Y","2024-10-13 12:00:00",,1,"District 12","Passed"
"DEMO-2024-10035","2024-07-29 12:00:00","2024-08-14 12:00:00",,"2024-11-08 12:00:00","Demolition Permit","Demolition","Demolition","Expired",50237,"63","PINECREST DR","DARTMOUTH","00056184",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolish Single Unit Dwelling","Y","2024-11-06 12:00:00",,1,"District 05","Failed"
"DEMO-2024-10244","2024-07-31 12:00:00","2024-08-02 12:00:00","2024-08-15 12:00:00","2024-09-30 12:00:00","Demolition Permit","Demolition","Demolition","Completed",120577,"19","HARMES DR","EASTERN PASSAGE","40480527",,"Building - DEM - Demolition - Final","Accessory Structure","Garage fire, total loss","Y","2024-08-15 12:00:00",,,"District 03","Passed"
"DEMO-2024-10525","2024-08-08 12:00:00","2024-08-09 12:00:00",,"2024-11-09 12:00:00","Demolition Permit","Demolition","Demolition","Expired",109542,"495","MAIN ST","DARTMOUTH","40173395",,,"Dwelling - Single Detached","Full Demolition of Single Unit Dwelling.","Y",,,1,"District 06",
"DEMO-2024-10693","2024-09-04 12:00:00","2024-10-10 12:00:00",,"2024-12-05 12:00:00","Demolition Permit","Demolition","Demolition","Expired",87254,"456","HERRING COVE RD","HALIFAX","00283366",,,"Dwelling - Single Detached","Demolition of Existing Home","Y",,,1,"District 11",
"DEMO-2024-10874","2024-08-27 12:00:00","2024-09-19 12:00:00","2025-01-15 12:00:00","2025-01-17 12:00:00","Demolition Permit","Demolition","Demolition","Completed",87759,"500","HERRING COVE RD","HALIFAX","40180333",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolition and removal of house debris and foundation after house fire.","Y","2025-01-10 12:00:00",,1,"District 11","Passed"
