"Permit_Number","Date_of_Submission","Date_of_Permit_Issuance","Completed_Date","Expiration_Date","Permit_Name","Work_Type","Primary_Work_Scope","Permit_Status","HRM_ID","Civic_Number","Street_Name","Community","PID","Most_Recent_Inspection","Type_of_Structure","Work_Description","Active_Parcel","Date_Inspection_Completed",District,Inspection_Outcome
"LOTGRADE-2024-11947","2024-08-28 12:00:00","2024-09-05 12:00:00",,"2026-09-04 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",176947,"73","PUNCHEON WAY","BEDFORD","41520826",,"Dwelling - Single Detached","New construction, single family, detached home. 4 bedrooms, 3.5 bathrooms","Y",,"District 16",
"LOTGRADE-2024-12003","2024-08-29 12:00:00","2024-09-04 12:00:00",,"2026-09-04 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",176872,"177","TERRADORE LANE","BEDFORD","41520099",,"Dwelling - Single Detached","Construct Single Family Home","Y",,"District 16",
"LOTGRADE-2024-12136","2024-08-30 12:00:00","2024-09-04 12:00:00","2024-09-04 12:00:00","2026-09-04 12:00:00","Lot Grading Permit","Associated to a Building","Addition","Completed",9544,"19","FALCON PL","HALIFAX","40267676",,"Dwelling - Single Detached","Office & Mudroom Addition","Y",,"District 10",
"LOTGRADE-2024-12167","2024-10-21 12:00:00","2024-10-23 12:00:00",,"2026-10-30 12:00:00","Lot Grading Permit","Associated to a Building","Addition","Issued",14781,"103","CLAYTON PARK DR","HALIFAX","00342253","Engineering - LOT - Lot Grading","Dwelling - Multiple Units","For proposed renovation, client would like to demo existing garage that is attached to the existing house and build a new attached garage with a loft","Y","2024-10-30 12:00:00","District 10","Failed"
"LOTGRADE-2024-12411","2024-09-04 12:00:00","2024-10-30 12:00:00",,"2026-10-30 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",67525,"6426","ROSLYN RD","HALIFAX","00084525",,"Accessory Structure","new backyard suite being built","Y",,"District 08",
"LOTGRADE-2025-00960","2025-01-22 12:00:00","2025-01-24 12:00:00",,"2027-01-29 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",185902,"77","COLONIAL CRES","HALIFAX","41540659",,"Dwelling - Semi-Detached","Semi detached homes on serviced lots with secondary suites","Y",,"District 11",
"LOTGRADE-2025-01209","2025-01-31 12:00:00","2025-02-03 12:00:00",,"2027-02-05 12:00:00","Lot Grading Permit","Not Associated to a Building","Swimming Pool","Issued",123633,"139","LEXINGTON AVE","DARTMOUTH","40858391",,"Not Associated to a Building","Install 24 foot above ground swimming pool","Y",,"District 06",
"LOTGRADE-2025-01252","2025-01-30 12:00:00","2025-01-31 12:00:00",,"2027-02-01 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",179178,"89","PEARLGARDEN CL","DARTMOUTH","41532938",,"Dwelling - Single Detached","LOTGRADE for BPRES-2025-01249","Y",,"District 06",
"LOTGRADE-2025-01278","2025-01-30 12:00:00","2025-02-03 12:00:00",,"2027-02-01 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",185906,"53","COLONIAL CRES","HALIFAX","41540709",,"Dwelling - Semi-Detached","Semi detached homes on Serviced pad ready lots with secondary suites","Y",,"District 11",
"LOTGRADE-2025-01284","2025-01-30 12:00:00","2025-02-03 12:00:00",,"2027-02-01 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",185904,"65","COLONIAL CRES","HALIFAX","41540683",,"Dwelling - Semi-Detached","Semi detached homes on Serviced pad ready lots","Y",,"District 11",
"LOTGRADE-2025-01305","2025-02-04 12:00:00","2025-02-05 12:00:00",,"2027-02-08 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",179177,"93","PEARLGARDEN CL","DARTMOUTH","41532920",,"Dwelling - Single Detached","2 storey single family, 3 beds, 2 full & 2 half baths, attached garage, walkout basement, attached rear deck","Y",,"District 06",
"LOTGRADE-2025-01415","2025-02-03 12:00:00","2025-02-06 12:00:00",,"2027-02-15 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",86954,"426","HERRING COVE RD","HALIFAX","00333583",,"Accessory Structure","Constructing Garage with Loft Space","Y",,"District 11",
"LOTGRADE-2023-06057","2023-05-19 12:00:00","2023-05-25 12:00:00",,"2025-05-23 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",49522,"2","AMBERCREST PL","DARTMOUTH","00056911",,"Accessory Structure","Preparing a pad for a garage installation","Y",,"District 05",
"LOTGRADE-2023-06147","2023-05-17 12:00:00",,"2023-05-24 12:00:00",,"Lot Grading Permit","Associated to a Building","New","Withdrawn",124420,"208","SOUTHAMPTON DR","COLE HARBOUR","40796534",,"Accessory Structure","Slight excavation/grading to accommodate a 12 x 16 foot concrete pad for the purpose of building a storage shed. Shed placement area is flat.","Y",,"District 04",
"LOTGRADE-2023-06183","2023-05-18 12:00:00","2023-07-07 12:00:00","2023-12-04 12:00:00","2025-07-31 12:00:00","Lot Grading Permit","Not Associated to a Building","Swimming Pool","Completed",160984,"41","KRAUSE CRT","DARTMOUTH","41350976","Engineering - LOT - Lot Grading","Dwelling - Single Detached","Excavation for semi inground pool","Y","2023-12-04 12:00:00","District 03","Passed"
"LOTGRADE-2023-06351","2023-05-23 12:00:00",,,,"Lot Grading Permit","Associated to a Building","New","Applicant Revisions",58588,"34","PINE ST","DARTMOUTH","41463720",,"Dwelling - Multiple Units","lowing the grade to match evenly","Y",,"District 05",
"LOTGRADE-2023-06485","2023-05-24 12:00:00","2023-05-29 12:00:00",,"2025-05-30 12:00:00","Lot Grading Permit","Associated to a Building","Addition","Issued",3434,"65","LEWIS DR","BEDFORD","40534158",,"Dwelling - Single Detached","Addition to a sud","Y",,"District 16",
"LOTGRADE-2023-06580","2023-05-25 12:00:00","2023-08-29 12:00:00",,"2025-08-29 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",84381,"561","COW BAY RD","EASTERN PASSAGE","40082786",,"Dwelling - Single Detached","single unit dwelling & backyard suite","Y",,"District 03",
"LOTGRADE-2023-06625","2023-05-26 12:00:00","2023-06-01 12:00:00","2024-05-16 12:00:00","2024-08-08 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",176913,"84","PUNCHEON WAY","BEDFORD","41300476","Engineering - LOT - Lot Grading","Dwelling - Single Detached","2 Storey, basement entrance/walkout, attached garage, attached rear deck, 3 bedroom, 3.5 bath","Y","2024-05-16 12:00:00","District 16","Passed"
"LOTGRADE-2023-06630","2023-05-26 12:00:00","2023-06-09 12:00:00","2024-06-19 12:00:00","2024-07-31 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",176914,"88","PUNCHEON WAY","BEDFORD","41520495","Engineering - LOT - Lot Grading","Dwelling - Single Detached","2 storey,  basement entrance/walkout, 3 bedroom, attached deck, attached garage, 3.5 bath","Y","2024-06-19 12:00:00","District 16","Passed"
"LOTGRADE-2023-06644","2023-05-26 12:00:00","2023-06-01 12:00:00","2023-09-19 12:00:00","2024-06-01 12:00:00","Lot Grading Permit","Not Associated to a Building","Swimming Pool","Completed",22429,"38","HAMILTON ST","BEECHVILLE","40049058","Engineering - LOT - Lot Grading","Accessory Structure","Remove sod, replace with crushed stone to reinforce the base of the pool","Y","2023-09-19 12:00:00","District 12","Passed"
"LOTGRADE-2023-06653","2023-05-26 12:00:00","2023-06-01 12:00:00","2024-06-19 12:00:00","2024-08-08 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",176918,"104","PUNCHEON WAY","BEDFORD","41520537","Engineering - LOT - Lot Grading","Dwelling - Single Detached","2 storey,  basement entrance/walkout, 3 bedroom, attached deck, attached garage, 3.5 bath","Y","2024-06-19 12:00:00","District 16","Passed"
"LOTGRADE-2023-06689","2023-05-28 12:00:00","2023-06-01 12:00:00","2024-10-15 12:00:00","2025-06-06 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",176921,"116","PUNCHEON WAY","BEDFORD","41520560","Engineering - LOT - Lot Grading","Dwelling - Single Detached","construct a single unit dwelling","Y","2024-10-15 12:00:00","District 16","Passed"
"LOTGRADE-2023-06744","2023-05-29 12:00:00","2024-01-17 12:00:00","2024-01-17 12:00:00","2026-01-16 12:00:00","Lot Grading Permit","Associated to a Building","Addition","Completed",81545,"32","MOUNTAIN RD","HALIFAX","00270660",,"Dwelling - Single Detached","3.7 m2 addition (BPRES-2023-02606)","Y",,"District 11",
"LOTGRADE-2023-06828","2023-05-30 12:00:00",,,,"Lot Grading Permit","Associated to a Building","New","Applicant Revisions",86287,"19","ALDERGROVE DR","HALIFAX","00326322",,"Accessory Structure","Building a garage 24x25","Y",,"District 11",
"LOTGRADE-2023-06880","2023-05-31 12:00:00",,,,"Lot Grading Permit","Not Associated to a Building","Retaining Wall","Application Incomplete",9773,"11","LYNWOOD DR","HALIFAX","00290775",,"Dwelling - Single Detached","To repair existing gabian retaining wall using proper base construction,  drainage and slope as per engineer design","Y",,"District 10",
"LOTGRADE-2023-06914","2023-06-01 12:00:00","2023-06-06 12:00:00","2023-06-21 12:00:00","2024-06-05 12:00:00","Lot Grading Permit","Not Associated to a Building","Swimming Pool","Completed",38080,"40","LOGGEN RD","MIDDLE SACKVILLE","40117061","Engineering - LOT - Lot Grading","Dwelling - Single Detached","lot grading for pool installation
POOL-2023-06549","Y","2023-06-21 12:00:00","District 14","Passed"
"LOTGRADE-2023-07037","2023-06-02 12:00:00","2023-06-06 12:00:00","2024-10-08 12:00:00","2025-06-05 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",79481,"6045","FRASER ST","HALIFAX","00055251","Engineering - LOT - Lot Grading","Accessory Structure","proposed accessory building","Y","2024-10-08 12:00:00","District 07","Passed"
"LOTGRADE-2023-07086","2023-06-05 12:00:00","2023-06-07 12:00:00",,"2025-06-07 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",33326,"95","TRINITY LANE","BEAVER BANK","40413023",,"Accessory Structure","Construct 24 x 24 detached garage","Y",,"District 15",
"LOTGRADE-2023-07100","2023-06-05 12:00:00","2023-06-07 12:00:00",,"2025-06-07 12:00:00","Lot Grading Permit","Associated to a Building","Addition","Issued",133012,"24","EVANGELINE CRT","LOWER SACKVILLE","41113267",,"Dwelling - Single Detached","Main Level Addition and deck

Associated with permit# BPRES-2023-06271","Y",,"District 15",
"LOTGRADE-2023-07168","2023-06-08 12:00:00","2023-06-26 12:00:00",,"2025-06-27 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",174206,"6242","MERLIN CRT","HALIFAX","41457144",,"Dwelling - Single Detached","Construction of a single residential dwelling.","Y",,"District 07",
"LOTGRADE-2023-07203","2023-06-06 12:00:00","2023-08-04 12:00:00",,"2025-08-08 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",84410,"24","ACORN RD","HALIFAX","00328344",,"Dwelling - Multiple Units","Raise House & construct a new foundation, and a self contained secondary suite in the basement, including a retaining wall","Y",,"District 11",
"LOTGRADE-2023-07263","2023-06-15 12:00:00",,"2023-06-23 12:00:00",,"Lot Grading Permit","Associated to a Building","New","Withdrawn",50881,"4","MAJOR ST","DARTMOUTH","00203885",,"Dwelling - Single Detached","Goes with BPRES-2023-07259 - digging a trench for new water connection","Y",,"District 06",
"LOTGRADE-2023-07282",,,"2023-07-14 12:00:00",,"Lot Grading Permit","Not Associated to a Building","Retaining Wall","Cancelled",,,,,,,"Accessory Structure",,,,"Unidentified",
"LOTGRADE-2023-07355","2023-06-08 12:00:00","2023-10-30 12:00:00",,"2025-10-27 12:00:00","Lot Grading Permit","Associated to a Building","Addition","Issued",73922,"2092","KLINE ST","HALIFAX","00022293",,"Dwelling - Multiple Units","addition to dwelling","Y",,"District 09",
"LOTGRADE-2023-07624","2023-06-14 12:00:00","2023-06-15 12:00:00",,"2024-06-14 12:00:00","Lot Grading Permit","Associated to a Building","New","Expired",102831,"851","NORTH PRESTON RD","NORTH PRESTON","40761942",,"Accessory Structure","for a detached garage","Y",,"District 04",
"LOTGRADE-2023-07671","2023-06-14 12:00:00","2023-06-19 12:00:00","2023-08-16 12:00:00","2025-06-19 12:00:00","Lot Grading Permit","Associated to a Building","Addition","Completed",75343,"2390","WESTMOUNT ST","HALIFAX","00008474","Engineering - LOT - Lot Grading","Dwelling - Single Detached","addition to dwelling","Y","2023-08-16 12:00:00","District 09","Passed"
"LOTGRADE-2023-07728","2023-06-15 12:00:00","2023-07-04 12:00:00","2024-11-25 12:00:00","2025-07-04 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",177306,"25","NORRIS DR","HALIFAX","00277210","Engineering - LOT - Lot Grading","Dwelling - Semi-Detached","2-units townhouse(=duplex) on new subdivision 
The lot 15A/B","Y","2024-06-25 12:00:00","District 11","Passed"
"LOTGRADE-2023-07729","2023-06-15 12:00:00","2023-07-04 12:00:00","2024-06-25 12:00:00","2025-07-04 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",177307,"29","NORRIS DR","HALIFAX","41481714","Engineering - LOT - Lot Grading","Dwelling - Semi-Detached","2-units townhouse(=duplex) on new subdivision 
The lot 16A/B","Y","2024-06-25 12:00:00","District 11","Passed"
"LOTGRADE-2023-07796","2023-06-17 12:00:00",,"2023-06-20 12:00:00",,"Lot Grading Permit","Associated to a Building","Addition","Withdrawn",61785,"36","HAZELHURST ST","DARTMOUTH","00097394",,"Dwelling - Multiple Units","Flat roof 2 floor house.  The roof has been leaking badly and needs to be replaced.  I want to take advantage of this time to slope the roof and add a small an extra bedroom and living space.","Y",,"District 05",
"LOTGRADE-2023-07852","2023-06-19 12:00:00","2023-06-23 12:00:00","2025-01-10 12:00:00","2025-06-23 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",176372,"382","SHORE DR","BEDFORD","41523234","Engineering - LOT - Lot Grading","Dwelling - Semi-Detached","Applying for the lot grading permit for Lot 3A and B Shore Drive  (Civic 382 & 386)","Y","2025-01-10 12:00:00","District 16","Passed"
"LOTGRADE-2023-07919","2023-06-20 12:00:00","2023-09-01 12:00:00",,"2025-08-30 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",176420,"447","LAKEVIEW AVE","MIDDLE SACKVILLE","41516253",,"Dwelling - Multiple Units","construct a new single family home, with secondary suite","Y",,"District 14",
"LOTGRADE-2023-08010","2023-07-24 12:00:00","2023-07-26 12:00:00","2023-11-16 12:00:00","2025-07-25 12:00:00","Lot Grading Permit","Associated to a Building","Addition","Completed",60034,"3559","NOVALEA DR","HALIFAX","00061234",,"Dwelling - Single Detached","Reinforming of shallow footings, installation of engineered helical piers at addition location.","Y",,"District 08",
